                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0021,                 2.3267,                 1.0814,                0.86262,                0.36778,                 0.6642,                0.47707,                0.86484,                 3.3037,                 0.9956,             0.00065152,             0.00065152,             0.00065152
                      2,                0.95519,                   1.51,                 1.0363,                0.80721,                0.80857,                0.72609,                0.51863,                0.98638,                 1.6355,                 1.1621,              0.0013051,              0.0013051,              0.0013051
                      3,                0.93111,                 1.2747,                 1.0222,                0.80731,                0.80857,                 0.7835,                0.59094,                0.85431,                 1.3394,                 1.0758,              0.0019455,              0.0019455,              0.0019455
                      4,                0.97101,                 1.2031,                 1.0638,                 0.8087,                   0.81,                0.70439,                0.48551,                 1.0099,                 1.2676,                  1.183,              0.0019406,              0.0019406,              0.0019406
                      5,                0.92116,                 1.0602,                 1.0335,                0.81422,                0.81571,                0.72509,                0.52847,                0.87622,                 1.2288,                 1.0486,              0.0019208,              0.0019208,              0.0019208
                      6,                0.86956,                0.94786,                 1.0013,                 0.8087,                   0.81,                0.78814,                0.60432,                0.79641,                0.94605,                 1.0139,               0.001901,               0.001901,               0.001901
                      7,                 0.8438,                0.89479,                0.99248,                0.80718,                0.80857,                0.77954,                0.59165,                0.82231,                 0.9261,                 1.0212,              0.0018812,              0.0018812,              0.0018812
                      8,                0.86618,                0.88546,                 1.0068,                0.81153,                0.81286,                0.74704,                0.56619,                0.77864,                0.81926,                0.99824,              0.0018614,              0.0018614,              0.0018614
                      9,                0.86648,                0.83232,                0.99583,                0.81307,                0.81429,                0.73124,                0.55187,                0.79434,                0.77778,                 1.0091,              0.0018416,              0.0018416,              0.0018416
                     10,                0.84303,                0.79265,                0.98995,                0.80731,                0.80857,                0.73332,                0.56133,                0.76518,                0.80167,                 0.9855,              0.0018218,              0.0018218,              0.0018218
                     11,                0.82439,                0.84964,                0.98038,                0.81012,                0.81143,                0.75046,                0.57502,                0.74841,                0.79687,                0.97751,               0.001802,               0.001802,               0.001802
                     12,                0.82178,                0.77113,                0.99117,                0.80729,                0.80857,                0.79717,                0.61515,                0.78277,                0.75144,                 0.9968,              0.0017822,              0.0017822,              0.0017822
                     13,                 0.8274,                0.76992,                0.99034,                0.81025,                0.81143,                0.74798,                0.57444,                0.75155,                0.76699,                0.97556,              0.0017624,              0.0017624,              0.0017624
                     14,                0.83341,                0.79073,                0.99112,                0.80849,                   0.81,                0.74132,                0.57231,                0.75886,                0.80055,                0.98281,              0.0017426,              0.0017426,              0.0017426
                     15,                0.83468,                0.79676,                 0.9772,                0.80729,                0.80857,                0.74458,                0.57249,                0.78123,                0.76435,                0.99101,              0.0017228,              0.0017228,              0.0017228
                     16,                0.83421,                0.80311,                0.97919,                0.81094,                0.81143,                0.75717,                0.58743,                0.73628,                0.76322,                0.96886,               0.001703,               0.001703,               0.001703
                     17,                0.82424,                0.78482,                0.98226,                0.80869,                   0.81,                0.76397,                0.58604,                0.77013,                0.74858,                0.98277,              0.0016832,              0.0016832,              0.0016832
                     18,                0.78378,                 0.7872,                0.96819,                0.81242,                0.81286,                0.78768,                0.60997,                0.75507,                0.78362,                0.98178,              0.0016634,              0.0016634,              0.0016634
                     19,                 0.7967,                0.77521,                0.97464,                0.81016,                0.81143,                0.78205,                0.60906,                0.71684,                0.75141,                0.96416,              0.0016436,              0.0016436,              0.0016436
                     20,                0.79726,                0.77794,                0.98107,                0.80584,                0.80714,                0.76098,                 0.5939,                0.73652,                0.73196,                0.96645,              0.0016238,              0.0016238,              0.0016238
                     21,                0.79783,                0.77235,                0.96297,                0.80891,                0.81143,                0.74073,                0.57119,                0.75018,                0.75609,                  0.972,               0.001604,               0.001604,               0.001604
                     22,                0.81302,                0.78281,                0.97342,                0.81301,                0.81429,                0.74582,                0.57869,                0.73587,                0.74572,                0.97293,              0.0015842,              0.0015842,              0.0015842
                     23,                0.77776,                0.73178,                0.95677,                0.80727,                0.80857,                0.75972,                0.58979,                0.75249,                0.75274,                0.96882,              0.0015644,              0.0015644,              0.0015644
                     24,                0.78506,                0.73771,                0.96229,                0.81475,                0.81714,                0.77734,                0.60749,                0.71209,                0.74183,                0.95212,              0.0015446,              0.0015446,              0.0015446
                     25,                0.80597,                0.76545,                0.98428,                0.80588,                0.80714,                0.75867,                0.59321,                0.71192,                0.72166,                0.96248,              0.0015248,              0.0015248,              0.0015248
                     26,                0.75039,                0.73975,                0.95096,                0.81014,                0.81143,                0.75316,                0.59405,                0.69568,                0.75512,                0.94739,               0.001505,               0.001505,               0.001505
                     27,                0.77164,                0.78176,                 0.9506,                0.80595,                0.80714,                0.76954,                0.60783,                0.72319,                0.74402,                0.95957,              0.0014852,              0.0014852,              0.0014852
                     28,                0.77629,                0.76537,                0.95932,                0.81307,                0.81429,                0.81286,                0.63334,                0.69227,                0.73668,                0.94764,              0.0014654,              0.0014654,              0.0014654
                     29,                0.77404,                0.77183,                0.96173,                0.80677,                0.80714,                0.76119,                0.60136,                0.70407,                0.71711,                0.95047,              0.0014456,              0.0014456,              0.0014456
                     30,                0.75266,                0.73394,                 0.9491,                0.80873,                   0.81,                0.80396,                 0.6442,                0.69885,                0.72778,                0.95033,              0.0014258,              0.0014258,              0.0014258
                     31,                0.73833,                0.71542,                0.95131,                0.81163,                0.81286,                0.77342,                0.60439,                0.70379,                0.72625,                0.95675,               0.001406,               0.001406,               0.001406
                     32,                0.75103,                0.69193,                0.95227,                0.81011,                0.81143,                 0.7731,                0.61467,                0.68792,                0.73214,                0.94491,              0.0013862,              0.0013862,              0.0013862
                     33,                  0.737,                0.75011,                0.96394,                0.81297,                0.81429,                 0.7888,                0.62196,                0.71603,                0.74068,                0.95528,              0.0013664,              0.0013664,              0.0013664
                     34,                0.76144,                 0.7179,                0.96563,                0.81068,                   0.81,                0.80746,                0.64206,                0.68239,                0.74151,                0.94444,              0.0013466,              0.0013466,              0.0013466
                     35,                0.72743,                0.74158,                0.93779,                0.81027,                0.81143,                 0.8111,                0.64153,                 0.7213,                0.73539,                0.96132,              0.0013268,              0.0013268,              0.0013268
                     36,                0.73756,                0.72007,                0.95551,                0.80908,                0.81122,                  0.796,                 0.6406,                0.68187,                0.71664,                0.94589,               0.001307,               0.001307,               0.001307
                     37,                0.73086,                0.70134,                0.94967,                0.80719,                0.80857,                0.74349,                0.57989,                0.71991,                0.73932,                0.95486,              0.0012872,              0.0012872,              0.0012872
                     38,                0.73086,                0.70833,                0.93502,                0.81133,                0.81286,                0.77496,                 0.6118,                0.69108,                0.72916,                0.94835,              0.0012674,              0.0012674,              0.0012674
                     39,                0.74194,                0.70275,                0.94935,                0.81061,                 0.8071,                0.81287,                0.65376,                0.67579,                0.72346,                0.93896,              0.0012476,              0.0012476,              0.0012476
                     40,                0.73577,                0.70355,                 0.9593,                 0.8128,                0.81429,                0.79343,                0.62131,                 0.7048,                0.69233,                0.95556,              0.0012278,              0.0012278,              0.0012278
                     41,                0.72099,                0.69886,                 0.9478,                0.80863,                   0.81,                0.77369,                0.61268,                0.68662,                 0.7503,                0.94655,               0.001208,               0.001208,               0.001208
                     42,                0.73762,                  0.737,                0.94072,                0.80861,                   0.81,                0.79612,                0.64045,                 0.6847,                0.72087,                0.95353,              0.0011882,              0.0011882,              0.0011882
                     43,                0.73114,                0.72799,                0.94377,                0.81528,                0.80704,                0.79439,                0.64274,                 0.6779,                0.77155,                0.94073,              0.0011684,              0.0011684,              0.0011684
                     44,                0.72063,                0.71284,                0.94185,                0.81157,                0.80714,                0.80179,                0.65175,                0.66054,                0.68576,                0.93594,              0.0011486,              0.0011486,              0.0011486
                     45,                0.70674,                0.70413,                0.93247,                0.81504,                0.81143,                0.80675,                 0.6456,                0.68459,                 0.6992,                0.94143,              0.0011288,              0.0011288,              0.0011288
                     46,                0.74013,                0.72727,                0.96326,                 0.8122,                   0.81,                0.79956,                0.64585,                0.68066,                0.72579,                0.95527,               0.001109,               0.001109,               0.001109
                     47,                0.72053,                0.69807,                0.94286,                0.80575,                0.81182,                 0.8293,                0.67103,                0.67082,                0.70089,                0.93747,              0.0010892,              0.0010892,              0.0010892
                     48,                0.73637,                0.73817,                0.95032,                0.80736,                0.82025,                0.78921,                0.63459,                0.66173,                0.67844,                0.93039,              0.0010694,              0.0010694,              0.0010694
                     49,                0.71924,                0.71868,                0.95112,                0.80621,                0.81423,                0.82498,                0.65526,                0.67998,                0.73405,                0.94591,              0.0010496,              0.0010496,              0.0010496
                     50,                0.71853,                0.71208,                0.93885,                0.80776,                0.81035,                0.83049,                0.67531,                0.66114,                0.69102,                0.93424,              0.0010298,              0.0010298,              0.0010298
                     51,                0.70075,                0.67363,                0.94569,                0.81948,                0.80416,                0.83605,                0.68285,                0.65516,                0.65912,                0.93206,                0.00101,                0.00101,                0.00101
                     52,                0.68641,                0.66133,                0.93961,                0.81113,                0.79857,                0.82566,                0.67112,                0.69784,                0.68005,                0.94004,              0.0009902,              0.0009902,              0.0009902
                     53,                 0.7068,                0.69387,                0.94192,                0.81394,                0.79857,                0.83482,                0.68081,                0.67194,                0.66868,                0.93623,              0.0009704,              0.0009704,              0.0009704
                     54,                0.69884,                0.69435,                0.93254,                0.79733,                 0.8318,                0.86941,                0.71326,                 0.6332,                 0.6427,                0.92222,              0.0009506,              0.0009506,              0.0009506
                     55,                0.70699,                0.69729,                 0.9353,                 0.8182,                0.81653,                0.85873,                0.69467,                0.64746,                0.64244,                0.92882,              0.0009308,              0.0009308,              0.0009308
                     56,                0.68148,                0.68675,                0.93524,                0.80987,                0.78571,                0.85555,                0.70457,                 0.6395,                0.69954,                0.92873,               0.000911,               0.000911,               0.000911
                     57,                0.69315,                 0.6819,                0.93424,                  0.811,                0.81143,                0.83473,                0.67914,                0.65024,                0.67481,                0.92273,              0.0008912,              0.0008912,              0.0008912
                     58,                0.70429,                0.72534,                0.94805,                0.78935,                0.80296,                0.82275,                0.66028,                0.70791,                0.76528,                0.94286,              0.0008714,              0.0008714,              0.0008714
                     59,                0.71652,                0.72222,                0.94015,                0.82677,                   0.79,                0.86916,                0.69816,                0.72043,                0.67856,                 0.9478,              0.0008516,              0.0008516,              0.0008516
                     60,                0.69381,                0.67394,                 0.9425,                0.80228,                   0.83,                0.86522,                0.71973,                0.61338,                0.64246,                0.91359,              0.0008318,              0.0008318,              0.0008318
                     61,                0.66745,                  0.658,                0.92145,                0.79337,                0.82275,                0.86957,                0.72455,                0.63055,                0.62576,                 0.9215,               0.000812,               0.000812,               0.000812
                     62,                0.66624,                0.64491,                0.92585,                 0.8137,                0.82857,                0.85978,                0.70764,                0.62092,                0.62679,                0.91656,              0.0007922,              0.0007922,              0.0007922
                     63,                0.67198,                0.64647,                 0.9085,                 0.8019,                0.84431,                0.88082,                0.73294,                0.60396,                0.60481,                0.91131,              0.0007724,              0.0007724,              0.0007724
                     64,                0.69241,                0.63251,                0.94676,                0.84073,                0.82949,                0.89158,                0.73428,                0.60781,                0.62093,                0.91355,              0.0007526,              0.0007526,              0.0007526
                     65,                0.65759,                0.63762,                0.92581,                0.85438,                0.79714,                0.88501,                0.73456,                0.62486,                0.60677,                0.91924,              0.0007328,              0.0007328,              0.0007328
                     66,                0.67079,                 0.6297,                0.92232,                0.83609,                0.81429,                0.89177,                0.74023,                 0.6202,                0.58087,                0.91677,               0.000713,               0.000713,               0.000713
                     67,                0.66735,                0.66559,                0.92229,                0.86638,                0.79429,                  0.884,                0.73341,                0.62538,                0.60408,                0.92564,              0.0006932,              0.0006932,              0.0006932
                     68,                0.66566,                0.65229,                0.92852,                 0.8419,                0.80857,                0.88465,                0.74089,                0.61127,                0.68778,                0.91032,              0.0006734,              0.0006734,              0.0006734
                     69,                0.67622,                0.66059,                0.93308,                0.86603,                0.80286,                0.88706,                0.73833,                0.62555,                0.61047,                0.91647,              0.0006536,              0.0006536,              0.0006536
                     70,                0.66616,                0.60327,                0.92658,                 0.8409,                0.82143,                0.89764,                0.75462,                0.61129,                0.56718,                0.91054,              0.0006338,              0.0006338,              0.0006338
                     71,                0.65924,                0.61822,                0.93523,                0.89051,                0.77849,                0.89902,                0.75972,                0.62288,                0.57187,                 0.9111,               0.000614,               0.000614,               0.000614
                     72,                0.64361,                0.61162,                0.91721,                0.87085,                   0.83,                0.90649,                0.76203,                0.60043,                0.54837,                0.90941,              0.0005942,              0.0005942,              0.0005942
                     73,                0.66895,                0.58477,                0.92489,                0.86855,                0.79571,                0.89282,                0.74946,                0.61679,                0.63389,                0.91247,              0.0005744,              0.0005744,              0.0005744
                     74,                0.65172,                0.62823,                0.91234,                0.84787,                0.82806,                0.89963,                0.76162,                0.58548,                0.57704,                0.90569,              0.0005546,              0.0005546,              0.0005546
                     75,                0.65128,                0.60594,                0.92582,                0.83498,                0.82286,                0.88865,                0.75021,                0.59986,                0.56208,                0.90785,              0.0005348,              0.0005348,              0.0005348
                     76,                0.63108,                 0.5971,                0.90897,                0.86846,                0.82714,                0.90918,                0.77167,                0.57135,                0.54697,                0.89517,               0.000515,               0.000515,               0.000515
                     77,                0.64465,                0.60674,                0.92453,                0.85941,                0.85857,                0.91284,                0.77605,                0.57409,                0.54197,                0.89708,              0.0004952,              0.0004952,              0.0004952
                     78,                0.62709,                0.59254,                0.91335,                0.85627,                0.84253,                0.90891,                0.77169,                0.59206,                0.52871,                0.90112,              0.0004754,              0.0004754,              0.0004754
                     79,                  0.657,                0.61093,                0.92568,                0.87891,                0.84571,                0.92058,                0.78065,                0.57735,                  0.528,                0.89721,              0.0004556,              0.0004556,              0.0004556
                     80,                0.61488,                  0.574,                 0.9113,                0.88169,                0.84286,                0.91577,                 0.7933,                0.56233,                0.48157,                0.89068,              0.0004358,              0.0004358,              0.0004358
                     81,                0.63704,                0.58254,                0.91596,                 0.8729,                0.85429,                0.91839,                0.79218,                0.56647,                0.46558,                0.89315,               0.000416,               0.000416,               0.000416
                     82,                0.61543,                0.55539,                0.90868,                0.90561,                0.81714,                 0.9228,                0.79778,                0.55843,                0.47303,                0.88999,              0.0003962,              0.0003962,              0.0003962
                     83,                0.62426,                 0.5367,                0.90928,                0.87251,                0.87286,                0.93199,                 0.8015,                0.57566,                0.45602,                0.89723,              0.0003764,              0.0003764,              0.0003764
                     84,                0.61429,                0.54965,                0.91477,                0.86457,                0.86429,                0.92622,                0.80451,                0.54548,                0.45837,                0.88718,              0.0003566,              0.0003566,              0.0003566
                     85,                0.62088,                0.55133,                 0.9172,                 0.9011,                 0.8591,                0.93377,                0.81269,                0.54025,                0.45113,                0.88412,              0.0003368,              0.0003368,              0.0003368
                     86,                0.60409,                0.52816,                0.90757,                0.85054,                0.88714,                0.92573,                0.80468,                0.55437,                0.44481,                0.88513,               0.000317,               0.000317,               0.000317
                     87,                0.62241,                0.54956,                0.90816,                0.93279,                0.87244,                0.94006,                0.81277,                0.54741,                0.46169,                0.88393,              0.0002972,              0.0002972,              0.0002972
                     88,                0.61906,                0.52005,                 0.9077,                0.90373,                0.87167,                0.93372,                0.81259,                0.54064,                0.46111,                0.88217,              0.0002774,              0.0002774,              0.0002774
                     89,                0.58282,                0.48838,                0.89884,                0.93548,                0.86989,                0.94175,                0.81738,                0.55446,                0.43631,                0.88522,              0.0002576,              0.0002576,              0.0002576
                     90,                0.58205,                0.50409,                0.89696,                 0.9074,                0.89592,                0.94383,                0.82155,                0.53622,                0.42284,                 0.8821,              0.0002378,              0.0002378,              0.0002378
                     91,                0.57745,                0.48652,                0.91465,                0.90861,                0.88714,                0.93888,                0.82157,                0.53499,                0.42652,                0.87728,               0.000218,               0.000218,               0.000218
                     92,                0.56199,                0.47582,                0.90359,                0.90206,                0.89857,                0.94208,                0.82553,                0.52585,                0.41016,                0.87683,              0.0001982,              0.0001982,              0.0001982
                     93,                0.56712,                0.46067,                0.90886,                0.92784,                0.88171,                0.94169,                0.82204,                0.52717,                0.42015,                0.87676,              0.0001784,              0.0001784,              0.0001784
                     94,                0.55725,                0.45535,                0.90015,                0.94046,                0.88006,                0.94622,                0.83425,                0.51179,                0.40584,                0.87257,              0.0001586,              0.0001586,              0.0001586
                     95,                0.54102,                0.44187,                0.89471,                0.94374,                0.89714,                0.94973,                0.84135,                0.50838,                0.38789,                0.87006,              0.0001388,              0.0001388,              0.0001388
                     96,                0.54978,                0.44507,                0.89484,                0.93153,                0.90286,                0.95288,                0.84612,                0.50564,                0.36557,                0.87026,               0.000119,               0.000119,               0.000119
                     97,                0.54434,                0.43046,                0.88881,                0.93289,                0.89358,                0.95169,                0.84927,                0.50162,                0.35969,                 0.8681,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.53984,                0.43133,                0.89234,                0.92449,                0.89714,                0.95323,                0.84792,                0.50121,                0.35901,                 0.8673,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.5237,                0.43666,                0.88608,                0.93573,                    0.9,                 0.9534,                0.84826,                0.50182,                0.35579,                0.86714,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.54325,                0.42419,                 0.8871,                0.93359,                0.90371,                0.95296,                 0.8501,                0.49913,                  0.351,                0.86631,               3.98e-05,               3.98e-05,               3.98e-05
